billboard_id,latitude,longitude,state_full,state_abbrev,campaign,url,message,street_view_date,mentions_bible_jesus_christians,mentions_n,mentions_y,no_message,image,
103,40.008411,-79.0780831,Pennsylvania,PA,,"https://www.google.com/maps/@40.0083679,-79.0780402,3a,60y,90t/data=!3m6!1e1!3m4!1s2sIpyKlVUeywMZ0QndZOGQ!2e0!7i13312!8i6656",Data not available,16-Oct,Data not available,,,x,,
226,29.21907,-82.18372,Florida,FL,,"https://www.google.com/maps/@29.2187321,-82.184311,3a,75y,37.44h,84.04t/data=!3m6!1e1!3m4!1sA7mKJ8D6T2B6-2PvHJTAcg!2e0!7i13312!8i6656",There IS Evidence for GOD!,16-Jul,N,N,,,https://s18.postimg.org/6zrd4ekw9/226.png,
234,44.466744,-73.183347,Vermont,VT,,"https://www.google.com/maps/place/44%C2%B028'00.3%22N+73%C2%B011'00.1%22W/@44.4670076,-73.1864328,260a,35y,92.62h,44.93t/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d44.466744!4d-73.183347",Data not available,11-Jul,Data not available,,,x,,
268,43.6341199,-70.3379309,Maine,ME,,"https://www.google.com/maps/place/43%C2%B038'02.8%22N+70%C2%B020'16.6%22W/@43.6334825,-70.3414678,322a,35y,82.16h,44.88t/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d43.6341199!4d-70.3379309",Data not available,16-Nov,Data not available,,,x,,
320,37.65487,-121.02648,California,CA,,"https://www.google.com/maps/@37.6556092,-121.0260295,3a,75y,221.29h,97.02t/data=!3m6!1e1!3m4!1sjHrQOhbAskeAXPHWlZYQug!2e0!7i13312!8i6656",Beyond Reasonable Doubt Jesus is Alive!,17-Mar,N,N,,,https://s17.postimg.org/nim6xn4pb/320.png,
321,36.032568,-79.808311,North Carolina,NC,,"https://www.google.com/maps/@36.0323623,-79.8083785,3a,60y,32.13h,90t/data=!3m6!1e1!3m4!1s0MYqMR-vmJWtGPm5FnyPaA!2e0!7i13312!8i6656",Data not available,16-Sep,Data not available,,,x,,
391,39.0293,-95.6188,Kansas,KS,,"https://www.google.com/maps/place/39%C2%B001'45.5%22N+95%C2%B037'07.7%22W/@39.0292629,-95.61752,81a,35y,273.27h,45.02t/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d39.0293!4d-95.6188",Jesus your only way to God.,Data not available,N,N,,,https://s17.postimg.org/695pz0can/391.png,
393,35.36921,-84.556459,Tennessee,TN,,"https://www.google.com/maps/@35.3689816,-84.5563282,3a,60y,90t/data=!3m6!1e1!3m4!1sS31E38Lwx2ThIen4nYazBA!2e0!7i13312!8i6656",In despair? Jesus is your hope!,16-Apr,N,N,,,https://s18.postimg.org/gqta82yg9/393.png,
394,35.442771,-84.592866,Tennessee,TN,,"https://www.google.com/maps/@35.4426792,-84.5926964,3a,60y,228.24h,90t/data=!3m6!1e1!3m4!1sS8aKyYwDRyoviGZkZCzoUQ!2e0!7i13312!8i6656",Data not available,17-Feb,Data not available,,,x,,
407,21.306768,-157.858324,Hawaii,HI,,"https://www.google.com/maps/@21.3068063,-157.8584468,3a,53.2y,264.43h,103.28t/data=!3m6!1e1!3m4!1s41dRyyF7Sh23y9-IaeIxaQ!2e0!7i13312!8i6656",Data not available,11-Jun,Data not available,,,x,,
