markets,dma,name,bible_minded_ranking,top_bible_minded_y_n,cartodb_id,"marketpop,N,24,15",point_count,point_count_n,point_count_y
,754,BUTTE-BOZEMAN,0,,169,0,1,1,0
LA CROSSE-EAU CLAIRE,702,LA CROSSE-EAU CLAIRE,0,,149,549724,1,1,0
PHILADELPHIA,504,PHILADELPHIA,57,Y,5,7979924,9,8,1
DETROIT,505,DETROIT,66,Y,6,4835520,6,5,1
MONROE-EL DORADO,628,MONROE-EL DORADO,0,,106,480685,2,1,1
SANTABARBRA-SANMAR-SANLUOB,855,SANTABARBRA-SANMAR-SANLUOB,0,,202,693522,0,0,0
WAUSAU-RHINELANDER,705,WAUSAU-RHINELANDER,0,,150,449946,0,0,0
TYLER-LONGVIEW(LFKN&NCGD),709,TYLER-LONGVIEW(LFKN&NCGD),0,,151,725980,0,0,0
,736,BOWLING GREEN,0,,161,0,0,0,0
NORTH PLATTE,740,NORTH PLATTE,0,,163,39911,0,0,0
BAKERSFIELD,800,BAKERSFIELD,0,,187,760197,0,0,0
,801,EUGENE,0,,188,0,5,5,0
MACON,503,MACON,0,,4,660789,3,2,1
ALPENA,583,ALPENA,0,,78,40540,0,0,0
CHARLOTTESVILLE,584,CHARLOTTESVILLE,0,,79,174156,0,0,0
PEORIA-BLOOMINGTON,675,PEORIA-BLOOMINGTON,0,,138,645361,0,0,0
DULUTH-SUPERIOR,676,DULUTH-SUPERIOR,0,,139,456253,0,0,0
MONTGOMERY,698,MONTGOMERY,0,,148,652684,2,2,0
BALTIMORE,512,BALTIMORE,69,Y,13,2925043,4,4,0
FLINT-SAGINAW-BAY CITY,513,FLINT-SAGINAW-BAY CITY,77,Y,14,1178322,2,2,0
BUFFALO,514,BUFFALO,96,Y,15,1605701,2,1,1
CINCINNATI,515,CINCINNATI,35,Y,16,2321803,3,3,0
SALISBURY,576,SALISBURY,0,,74,372395,0,0,0
TERRE HAUTE,581,TERRE HAUTE,0,,76,414665,1,1,0
NEW YORK,501,NEW YORK,90,Y,2,20818031,8,8,0
PROVIDENCE-NEW BEDFORD,521,PROVIDENCE-NEW BEDFORD,98,Y,22,1600651,3,3,0
BURLINGTON-PLATTSBURGH,523,BURLINGTON-PLATTSBURGH,89,Y,24,850070,2,2,0
ATLANTA,524,ATLANTA,32,Y,25,6313282,3,3,0
FT. SMITH-FAYTVIL-SPGDALE-RGRS,670,FT. SMITH-FAYTVIL-SPGDALE-RGRS,45,Y,135,772257,0,0,0
TULSA,671,TULSA,39,Y,136,1378768,0,0,0
KNOXVILLE,557,KNOXVILLE,8,Y,58,1333147,8,4,4
CHARLOTTE,517,CHARLOTTE,6,Y,18,2957445,7,2,5
ZANESVILLE,596,ZANESVILLE,0,,82,86066,0,0,0
SIOUX CITY,624,SIOUX CITY,0,,102,400793,0,0,0
CHICO-REDDING,868,CHICO-REDDING,0,,205,502605,0,0,0
MERIDIAN,711,MERIDIAN,0,,153,186467,1,0,1
QUINCY-HANNIBAL-KEOKUK,717,QUINCY-HANNIBAL-KEOKUK,0,,155,285074,0,0,0
BINGHAMTON,502,BINGHAMTON,0,,3,350180,0,0,0
"COLUMBUS, GA",522,"COLUMBUS, GA",0,,23,572657,1,1,0
"ALBANY, GA",525,"ALBANY, GA",0,,26,419886,0,0,0
CLEVELAND,510,CLEVELAND,76,Y,11,3850135,3,3,0
"WASHINGTON, DC",511,"WASHINGTON, DC",87,Y,12,6539572,2,2,0
SAN ANTONIO,641,SAN ANTONIO,36,Y,118,2483118,2,2,0
CHAMPAIGN&SPRNGFLD-DECATUR,648,CHAMPAIGN&SPRNGFLD-DECATUR,55,Y,123,937737,1,1,0
PHOENIX,753,PHOENIX,92,Y,168,4983311,5,5,0
SAN ANGELO,661,SAN ANGELO,0,,132,146816,0,0,0
BIRMINGHAM,630,BIRMINGHAM,2,Y,107,1865385,6,6,0
NASHVILLE,659,NASHVILLE,16,Y,131,2606434,7,7,0
LUBBOCK,651,LUBBOCK,0,,126,444181,0,0,0
MANKATO,737,MANKATO,0,,162,146709,0,0,0
BOISE,757,BOISE,0,,172,730134,3,3,0
IDAHO FALLS-POCATELLO,758,IDAHO FALLS-POCATELLO,0,,173,390125,2,2,0
TWIN FALLS,760,TWIN FALLS,0,,175,184673,3,3,0
,762,MISSOULA,0,,176,0,2,0,2
RAPID CITY,764,RAPID CITY,0,,177,259633,2,2,0
,766,HELENA,0,,179,0,1,1,0
SALT LAKE CITY,770,SALT LAKE CITY,91,Y,181,2920962,22,22,0
GRAND JUNCTION-MONTROSE,773,GRAND JUNCTION-MONTROSE,0,,183,190063,0,0,0
ALBUQUERQUE-SANTA FE,790,ALBUQUERQUE-SANTA FE,48,Y,185,1897058,7,5,2
GAINESVILLE,592,GAINESVILLE,0,,81,321639,0,0,0
,598,CLARKSBURG-WESTON,0,,84,0,1,0,1
CORPUS CHRISTI,600,CORPUS CHRISTI,0,,85,576291,0,0,0
YAKIMA-PASCO-RCHLND-KNNWCK,810,YAKIMA-PASCO-RCHLND-KNNWCK,0,,193,683329,0,0,0
SEATTLE-TACOMA,819,SEATTLE-TACOMA,0,,196,4790277,1,1,0
SAVANNAH,507,SAVANNAH,13,Y,8,891075,5,2,3
PITTSBURGH,508,PITTSBURGH,68,Y,9,2829759,1,1,0
HOUSTON,618,HOUSTON,51,Y,98,6254343,5,3,2
"PORTLAND, OR",820,"PORTLAND, OR",53,Y,197,3112808,4,4,0
AUGUSTA,520,AUGUSTA,0,,21,712932,2,1,1
