bible_minded_ranking,markets,dma,name,cartodb_id,point_count_no_message,point_count_n,point_count_y
0,,754,BUTTE-BOZEMAN,169,1,0,0
0,LA CROSSE-EAU CLAIRE,702,LA CROSSE-EAU CLAIRE,149,1,0,0
57,PHILADELPHIA,504,PHILADELPHIA,5,8,0,1
66,DETROIT,505,DETROIT,6,5,1,0
0,MONROE-EL DORADO,628,MONROE-EL DORADO,106,1,0,1
0,SANTABARBRA-SANMAR-SANLUOB,855,SANTABARBRA-SANMAR-SANLUOB,202,0,0,0
0,WAUSAU-RHINELANDER,705,WAUSAU-RHINELANDER,150,0,0,0
0,TYLER-LONGVIEW(LFKN&NCGD),709,TYLER-LONGVIEW(LFKN&NCGD),151,0,0,0
0,,736,BOWLING GREEN,161,0,0,0
0,NORTH PLATTE,740,NORTH PLATTE,163,0,0,0
0,BAKERSFIELD,800,BAKERSFIELD,187,0,0,0
0,,801,EUGENE,188,5,0,0
0,MACON,503,MACON,4,2,0,1
0,ALPENA,583,ALPENA,78,0,0,0
69,BALTIMORE,512,BALTIMORE,13,4,0,0
77,FLINT-SAGINAW-BAY CITY,513,FLINT-SAGINAW-BAY CITY,14,2,0,0
96,BUFFALO,514,BUFFALO,15,1,1,0
0,SALISBURY,576,SALISBURY,74,0,0,0
0,TERRE HAUTE,581,TERRE HAUTE,76,1,0,0
90,NEW YORK,501,NEW YORK,2,8,0,0
98,PROVIDENCE-NEW BEDFORD,521,PROVIDENCE-NEW BEDFORD,22,3,0,0
89,BURLINGTON-PLATTSBURGH,523,BURLINGTON-PLATTSBURGH,24,2,0,0
32,ATLANTA,524,ATLANTA,25,3,0,0
0,CHARLOTTESVILLE,584,CHARLOTTESVILLE,79,0,0,0
0,PEORIA-BLOOMINGTON,675,PEORIA-BLOOMINGTON,138,0,0,0
0,DULUTH-SUPERIOR,676,DULUTH-SUPERIOR,139,0,0,0
0,MONTGOMERY,698,MONTGOMERY,148,2,0,0
45,FT. SMITH-FAYTVIL-SPGDALE-RGRS,670,FT. SMITH-FAYTVIL-SPGDALE-RGRS,135,0,0,0
0,ZANESVILLE,596,ZANESVILLE,82,0,0,0
0,SIOUX CITY,624,SIOUX CITY,102,0,0,0
0,CHICO-REDDING,868,CHICO-REDDING,205,0,0,0
0,MERIDIAN,711,MERIDIAN,153,0,1,0
0,QUINCY-HANNIBAL-KEOKUK,717,QUINCY-HANNIBAL-KEOKUK,155,0,0,0
0,BINGHAMTON,502,BINGHAMTON,3,0,0,0
0,"COLUMBUS, GA",522,"COLUMBUS, GA",23,1,0,0
0,"ALBANY, GA",525,"ALBANY, GA",26,0,0,0
76,CLEVELAND,510,CLEVELAND,11,3,0,0
0,ODESSA-MIDLAND,633,ODESSA-MIDLAND,110,1,0,0
0,LUBBOCK,651,LUBBOCK,126,0,0,0
0,MANKATO,737,MANKATO,162,0,0,0
0,BOISE,757,BOISE,172,3,0,0
0,IDAHO FALLS-POCATELLO,758,IDAHO FALLS-POCATELLO,173,2,0,0
0,TWIN FALLS,760,TWIN FALLS,175,3,0,0
0,,762,MISSOULA,176,0,2,0
0,RAPID CITY,764,RAPID CITY,177,2,0,0
0,,766,HELENA,179,1,0,0
91,SALT LAKE CITY,770,SALT LAKE CITY,181,22,0,0
0,GRAND JUNCTION-MONTROSE,773,GRAND JUNCTION-MONTROSE,183,0,0,0
48,ALBUQUERQUE-SANTA FE,790,ALBUQUERQUE-SANTA FE,185,5,2,0
0,GAINESVILLE,592,GAINESVILLE,81,0,0,0
0,,598,CLARKSBURG-WESTON,84,0,0,1
0,CORPUS CHRISTI,600,CORPUS CHRISTI,85,0,0,0
35,CINCINNATI,515,CINCINNATI,16,3,0,0
0,YAKIMA-PASCO-RCHLND-KNNWCK,810,YAKIMA-PASCO-RCHLND-KNNWCK,193,0,0,0
0,SEATTLE-TACOMA,819,SEATTLE-TACOMA,196,1,0,0
13,SAVANNAH,507,SAVANNAH,8,2,2,1
68,PITTSBURGH,508,PITTSBURGH,9,1,0,0
51,HOUSTON,618,HOUSTON,98,3,0,2
53,"PORTLAND, OR",820,"PORTLAND, OR",197,4,0,0
0,AUGUSTA,520,AUGUSTA,21,1,0,1
0,"LAFAYETTE, LA",642,"LAFAYETTE, LA",119,3,1,0
0,LAKE CHARLES,643,LAKE CHARLES,120,0,0,0
0,"ALEXANDRIA, LA",644,"ALEXANDRIA, LA",121,0,0,0
0,WATERTOWN,549,WATERTOWN,50,0,0,0
63,ORLANDO-DAYTONA BCH-MELBRN,534,ORLANDO-DAYTONA BCH-MELBRN,35,2,1,0
54,"COLUMBUS, OH",535,"COLUMBUS, OH",36,1,0,0
50,EL PASO,765,EL PASO,178,2,1,0
94,SAN FRANCISCO-OAK-SAN JOSE,807,SAN FRANCISCO-OAK-SAN JOSE,192,1,2,0
0,BILLINGS,756,BILLINGS,171,0,0,0
0,EVANSVILLE,649,EVANSVILLE,124,2,1,1
79,SACRAMNTO-STKTN-MODESTO,862,SACRAMNTO-STKTN-MODESTO,203,3,1,1
71,FRESNO-VISALIA,866,FRESNO-VISALIA,204,2,0,0
21,GREENSBORO-H.POINT-W.SALEM,518,GREENSBORO-H.POINT-W.SALEM,19,2,1,1
41,"CHARLESTON, SC",519,"CHARLESTON, SC",20,0,0,0
24,RALEIGH-DURHAM,560,RALEIGH-DURHAM,61,3,2,0
27,PADUCAH-C.GIRD-HARBG-MT VN,632,PADUCAH-C.GIRD-HARBG-MT VN,109,5,3,0
60,WEST PALM BEACH-FT. PIERCE,548,WEST PALM BEACH-FT. PIERCE,49,4,0,0
7,LITTLE ROCK-PINE BLUFF,693,LITTLE ROCK-PINE BLUFF,147,3,0,0
19,BATON ROUGE,716,BATON ROUGE,154,1,1,0
39,TULSA,671,TULSA,136,0,0,0
49,HARLINGEN-WSLCO-BRNSVL-MCA,636,HARLINGEN-WSLCO-BRNSVL-MCA,113,1,0,0
80,LOS ANGELES,803,LOS ANGELES,190,6,1,0
61,"TAMPA-ST. PETE,SARASOTA",539,"TAMPA-ST. PETE,SARASOTA",40,5,0,0
10,,541,LEXINGTON,42,1,0,0
4,SHREVEPORT,612,SHREVEPORT,94,3,0,2
67,MINNEAPOLIS-ST. PAUL,613,MINNEAPOLIS-ST. PAUL,95,5,2,1
0,TALLAHASSEE-THOMASVILLE,530,TALLAHASSEE-THOMASVILLE,31,1,0,0
0,,537,BANGOR,38,0,0,0
0,TRAVERSE CITY-CADILLAC,540,TRAVERSE CITY-CADILLAC,41,0,1,0
15,"JACKSON, MS",718,"JACKSON, MS",156,1,0,0
86,PORTLAND-AUBURN,500,PORTLAND-AUBURN,1,2,0,0
0,WICHITA FALLS & LAWTON,627,WICHITA FALLS & LAWTON,105,0,0,0
0,CASPER-RIVERTON,767,CASPER-RIVERTON,180,0,0,0
0,MINOT-BISMARCK-DICKINSON,687,MINOT-BISMARCK-DICKINSON,144,1,0,0
0,EUREKA,802,EUREKA,189,0,0,0
12,"HUNTSVILLE-DECATUR,FLOR",691,"HUNTSVILLE-DECATUR,FLOR",145,3,1,0
0,MONTEREY-SALINAS,828,MONTEREY-SALINAS,200,0,0,0
0,RENO,811,RENO,194,5,0,0
11,"SPRINGFIELD, MO",619,"SPRINGFIELD, MO",99,3,0,0
85,"ROCHESTER, NY",538,"ROCHESTER, NY",39,0,0,0
74,SYRACUSE,555,SYRACUSE,56,0,0,1
38,RICHMOND-PETERSBURG,556,RICHMOND-PETERSBURG,57,4,1,0
9,GREENVLL-SPART-ASHEVLL-AND,567,GREENVLL-SPART-ASHEVLL-AND,67,5,0,0
0,MEDFORD-KLAMATH FALLS,813,MEDFORD-KLAMATH FALLS,195,0,0,0
1,CHATTANOOGA,575,CHATTANOOGA,73,2,1,0
99,BOSTON,506,BOSTON,7,3,0,0
29,"JACKSONVILLE, BRUNSWICK",561,"JACKSONVILLE, BRUNSWICK",62,2,0,1
0,LIMA,558,LIMA,59,0,0,0
40,DAYTON,542,DAYTON,43,7,1,0
42,NORFOLK-PORTSMTH-NEWPT NWS,544,NORFOLK-PORTSMTH-NEWPT NWS,45,0,0,0
26,GREENVILLE-N.BERN-WASHNGTN,545,GREENVILLE-N.BERN-WASHNGTN,46,0,0,0
23,"COLUMBIA, SC",546,"COLUMBIA, SC",47,0,0,0
65,TOLEDO,547,TOLEDO,48,2,1,1
33,INDIANAPOLIS,527,INDIANAPOLIS,28,4,1,0
58,MIAMI-FT. LAUDERDALE,528,MIAMI-FT. LAUDERDALE,29,0,0,0
17,LOUISVILLE,529,LOUISVILLE,30,1,0,0
5,"TRI-CITIES, TN-VA",531,"TRI-CITIES, TN-VA",32,1,0,2
28,DALLAS-FT. WORTH,623,DALLAS-FT. WORTH,101,11,4,1
0,,552,PRESQUE ISLE,53,0,0,0
0,MARQUETTE,553,MARQUETTE,54,0,0,0
0,BLUEFIELD-BECKLEY-OAK HILL,559,BLUEFIELD-BECKLEY-OAK HILL,60,2,0,0
0,COLUMBIA-JEFFERSON CITY,604,COLUMBIA-JEFFERSON CITY,88,0,1,1
0,DOTHAN,606,DOTHAN,90,0,0,0
83,FT. MYERS-NAPLES,571,FT. MYERS-NAPLES,70,0,0,0
3,ROANOKE-LYNCHBURG,573,ROANOKE-LYNCHBURG,71,1,1,0
8,KNOXVILLE,557,KNOXVILLE,58,4,3,1
6,CHARLOTTE,517,CHARLOTTE,18,2,3,2
52,SPOKANE,881,SPOKANE,206,1,1,1
30,MOBILE-PENSACOLA,686,MOBILE-PENSACOLA,143,2,1,1
87,"WASHINGTON, DC",511,"WASHINGTON, DC",12,2,0,0
36,SAN ANTONIO,641,SAN ANTONIO,118,2,0,0
55,CHAMPAIGN&SPRNGFLD-DECATUR,648,CHAMPAIGN&SPRNGFLD-DECATUR,123,1,0,0
92,PHOENIX,753,PHOENIX,168,5,0,0
0,UTICA,526,UTICA,27,0,0,0
0,SHERMAN-ADA,657,SHERMAN-ADA,129,2,0,0
95,LAS VEGAS,839,LAS VEGAS,201,3,1,0
59,GREEN BAY-APPLETON,658,GREEN BAY-APPLETON,130,2,0,0
81,DENVER,751,DENVER,166,3,1,0
56,COLORADO SPRINGS-PUEBLO,752,COLORADO SPRINGS-PUEBLO,167,3,0,0
70,SAN DIEGO,825,SAN DIEGO,199,0,0,0
37,NEW ORLEANS,622,NEW ORLEANS,100,4,2,0
0,GREENWOOD-GREENVILLE,647,GREENWOOD-GREENVILLE,122,0,0,0
0,FLORENCE-MYRTLE BEACH,570,FLORENCE-MYRTLE BEACH,69,4,1,1
47,AUSTIN,635,AUSTIN,112,1,0,0
100,ALBANY-SCHENECTADY-TROY,532,ALBANY-SCHENECTADY-TROY,33,1,1,0
93,HARTFORD & NEW HAVEN,533,HARTFORD & NEW HAVEN,34,3,0,0
0,JOHNSTOWN-ALTOONA,574,JOHNSTOWN-ALTOONA,72,2,0,0
82,WILKES BARRE-SCRANTON,577,WILKES BARRE-SCRANTON,75,4,0,0
78,CHICAGO,602,CHICAGO,86,7,0,0
31,WACO-TEMPLE-BRYAN,625,WACO-TEMPLE-BRYAN,103,4,0,0
34,KANSAS CITY,616,KANSAS CITY,96,2,1,1
22,CHARLESTON-HUNTINGTON,564,CHARLESTON-HUNTINGTON,64,1,0,0
62,HARRISBURG-LNCSTR-LEB-YORK,566,HARRISBURG-LNCSTR-LEB-YORK,66,5,0,0
14,OKLAHOMA CITY,650,OKLAHOMA CITY,125,4,0,1
88,MADISON,669,MADISON,134,0,0,0
0,WHEELING-STEUBENVILLE,554,WHEELING-STEUBENVILLE,55,0,1,0
0,HARRISONBURG,569,HARRISONBURG,68,0,0,0
0,SAN ANGELO,661,SAN ANGELO,132,0,0,0
2,BIRMINGHAM,630,BIRMINGHAM,107,6,0,0
16,NASHVILLE,659,NASHVILLE,131,7,0,0
0,WILMINGTON,550,WILMINGTON,51,0,0,0
0,BILOXI-GULFPORT,746,BILOXI-GULFPORT,164,2,3,0
0,,755,GREAT FALLS,170,1,0,0
43,SOUTH BEND-ELKHART,588,SOUTH BEND-ELKHART,80,1,0,0
0,YOUNGSTOWN,536,YOUNGSTOWN,37,1,0,0
20,GRAND RAPIDS-KALMZOO-B.CRK,563,GRAND RAPIDS-KALMZOO-B.CRK,63,1,0,0
0,ELMIRA,565,ELMIRA,65,0,0,0
0,"LAFAYETTE, IN",582,"LAFAYETTE, IN",77,0,0,0
0,,798,GLENDIVE,186,0,0,0
44,DAVENPORT-R.ISLAND-MOLINE,682,DAVENPORT-R.ISLAND-MOLINE,142,1,0,0
0,FT. WAYNE,509,FT. WAYNE,10,1,0,0
0,ERIE,516,ERIE,17,2,0,0
0,LANSING,551,LANSING,52,1,0,0
0,OTTUMWA-KIRKSVILLE,631,OTTUMWA-KIRKSVILLE,108,0,0,0
