ranking,market,percent_pop_bible_minded
1,CHATTANOOGA,52%
2,BIRMINGHAM,51%
3,ROANOKE-LYNCHBURG,48%
4,SHREVEPORT,47%
5,"TRI-CITIES, TN-VA",47%
6,CHARLOTTE,46%
7,LITTLE ROCK-PINE BLUFF,45%
8,KNOXVILLE,45%
9,GREENVLL-SPART-ASHEVLL-AND,44%
10,LEXINGTON,44%
11,"SPRINGFIELD, MO",44%
12,"HUNTSVILLE-DECATUR,FLOR",42%
13,SAVANNAH,42%
14,OKLAHOMA CITY,41%
15,"JACKSON, MS",41%
16,NASHVILLE,39%
17,LOUISVILLE,39%
18,WICHITA-HUTCHINSON PLUS,39%
19,BATON ROUGE,38%
20,GRAND RAPIDS-KALMZOO-B.CRK,37%
21,GREENSBORO-H.POINT-W.SALEM,37%
22,CHARLESTON-HUNTINGTON,37%
23,"COLUMBIA, SC",37%
24,RALEIGH-DURHAM,36%
25,MEMPHIS,36%
26,GREENVILLE-N.BERN-WASHNGTN,36%
27,PADUCAH-C.GIRD-HARBG-MT VN,36%
28,DALLAS-FT. WORTH,35%
29,"JACKSONVILLE, BRUNSWICK",34%
30,MOBILE-PENSACOLA,34%
31,WACO-TEMPLE-BRYAN,34%
32,ATLANTA,33%
33,INDIANAPOLIS,32%
34,KANSAS CITY,32%
35,CINCINNATI,32%
36,SAN ANTONIO,32%
37,NEW ORLEANS,32%
38,RICHMOND-PETERSBURG,32%
39,TULSA,32%
40,DAYTON,32%
41,"CHARLESTON, SC",32%
42,NORFOLK-PORTSMTH-NEWPT NWS,31%
43,SOUTH BEND-ELKHART,31%
44,DAVENPORT-R.ISLAND-MOLINE,31%
45,FT. SMITH-FAYTVIL-SPGDALE-RGRS,31%
46,ST. LOUIS,28%
47,AUSTIN,27%
48,ALBUQUERQUE-SANTA FE,27%
49,HARLINGEN-WSLCO-BRNSVL-MCA,27%
50,EL PASO,27%
51,HOUSTON,26%
52,SPOKANE,26%
53,"PORTLAND, OR",25%
54,"COLUMBUS, OH",25%
55,CHAMPAIGN&SPRNGFLD-DECATUR,25%
56,COLORADO SPRINGS-PUEBLO,25%
57,PHILADELPHIA,24%
58,MIAMI-FT. LAUDERDALE,24%
59,GREEN BAY-APPLETON,24%
60,WEST PALM BEACH-FT. PIERCE,23%
61,"TAMPA-ST. PETE,SARASOTA",23%
62,HARRISBURG-LNCSTR-LEB-YORK,23%
63,ORLANDO-DAYTONA BCH-MELBRN,23%
64,MILWAUKEE,23%
65,TOLEDO,23%
66,DETROIT,22%
67,MINNEAPOLIS-ST. PAUL,22%
68,PITTSBURGH,22%
69,BALTIMORE,22%
70,SAN DIEGO,22%
71,FRESNO-VISALIA,22%
72,DES MOINES-AMES,22%
73,OMAHA,22%
74,SYRACUSE,22%
75,CLEVELAND,21%
76,CLEVELAND,21%
77,FLINT-SAGINAW-BAY CITY,21%
78,CHICAGO,20%
79,SACRAMNTO-STKTN-MODESTO,20%
80,LOS ANGELES,19%
81,DENVER,19%
82,WILKES BARRE-SCRANTON,19%
83,FT. MYERS-NAPLES,19%
84,TUCSON,19%
85,"ROCHESTER, NY",19%
86,PORTLAND-AUBURN,19%
87,"WASHINGTON, DC",18%
88,MADISON,18%
89,BURLINGTON-PLATTSBURGH,18%
90,NEW YORK,17%
91,SALT LAKE CITY,17%
92,PHOENIX,16%
93,HARTFORD & NEW HAVEN,16%
94,SAN FRANCISCO-OAK-SAN JOSE,15%
95,LAS VEGAS,14%
96,BUFFALO,13%
97,CEDAR RAPIDS-WATERLOO&DUBQ,13%
98,PROVIDENCE-NEW BEDFORD,12%
99,BOSTON,11%
100,ALBANY-SCHENECTADY-TROY,10%
